,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Inventory Turnover Rate (times),-0.020592097952319355,0.0973590917920049,0.09821869859510562,0.08946642850095023,0.16603414191003987,0.16617515529781174,0.105820998429957,0.16394069835296105,0.1543079833535156,0.14377804274512582,0.17210363210534618,-0.2544243693908817,0.2559660059377853,0.07347290136449189,-0.06582127632033243,0.060393332023228975,0.1030416288941113,0.1030416288941113,0.11159878265986074,0.11392694589258323,0.009097335753813104,-0.3523149715717626,0.02201439876591389,0.11201092344634067,-0.020434571317140934,0.04382083025102539,0.08675174920343895,0.08846550209843564,0.10541960095955685,0.04847498435401542,0.10342028620670295,0.05737533429561604,0.11954339799304628,0.03158556362495602,-0.06247471112278354,-0.2324295426866444,-0.13145756278360446,-0.169622681430423,0.16962268143042333,0.26914629755822067,0.0035613542533111477,-0.0363737702170514,0.023787998535511546,0.10881217644907518,-0.10081500001710489,-0.33086202852162927,-0.2430493835053245,0.22171919229017054,1.0,0.07951653060939116,-0.3399816363499219,-0.2169483192796648,0.07886905199211398,-0.054555200081480806,0.04853314779378199,-0.2991717615124416,-0.23668379778781787,-0.05993263124698342,-0.056070298626140824,-0.060985400705094596,-0.2780022930821237,0.10917261443900671,0.0751863211508594,0.2382650735221459,-0.19580641713348204,0.018621848327416698,-0.04618312259534698,0.16887582019094252,0.14261514330447833,0.06639915943679199,-0.08464815037099493,-0.13894596225166334,0.09488610572835193,-0.005270221673704883,-0.02402008108805886,-0.07310817067218899,-0.16026156481523596,-0.19580641713348204,-0.04618312259534698,0.14804731712339889,-0.033086945226549785,0.11250171258407184,0.062060156236550014,0.050386521389685066,-0.04197731772174576,-0.06298547586495355,0.10037714613706679,-0.06910187640847541,-0.08913345027930787,0.16605566949242306,-0.04824690331803597,-0.012952845844850647,0.15619424809185078,-0.23642600627196866,,0.18575217761229584
 Fixed Assets Turnover Frequency,0.08343217006497927,-0.08030071417472992,-0.07006732619950098,-0.060992401302826384,-0.038281889696160615,-0.03775761057944453,-0.19067571596461788,-0.0339958631949693,-0.03509408583119403,0.0632349968643221,-0.046832328070815804,0.022166499974024725,0.10905676415397703,0.16182736174236925,-0.06003679199091336,-0.14002465097081562,0.027221077208224573,0.027221077208224573,0.027875969405639495,-0.06336141234210342,-0.10968075384539122,-0.4034671772668183,-0.24912860104909537,-0.08244254684269975,-0.05728255629739711,-0.01716087254950165,0.05636801866205671,0.055035544464583176,0.06088550518016752,-0.05855374019298865,-0.05600821841148291,0.00875449226090772,-0.016727847567314873,0.032188504526208056,0.10820200378776067,-0.05564733657177681,-0.06599358115265185,-0.07294900016854156,0.07294900016854128,-0.016134889283938175,0.014526931389102313,-0.14584987382146006,-0.24831019522171935,-0.08380729295226622,-0.17620062448180732,-0.40439885032407596,-0.054863583126485226,0.03067067412417586,0.07951653060939116,1.0,-0.3403939062857761,-0.17176375044220465,-0.16742818715972443,0.2369756355599212,-0.19460418381793357,-0.3382115738545443,-0.42017862433149145,-0.17201676040955993,0.1026361758830117,0.040269411454040976,-0.18762768330039745,-0.09591662706797886,-0.121880060273469,-0.15604346566708552,-0.29839920546685755,-0.14066616610484475,-0.0008224896186437606,0.030357826087550218,-0.040405886998245495,-0.0903568257452281,-0.2613201514351458,-0.12333919261470204,-0.21621832451744494,-0.023595373776935248,-0.03335528976037091,-0.43907660674143667,0.16789712409037907,-0.29839920546685755,-0.0008224896186437606,0.0044530446485944765,-0.3184439562463146,-0.2488035000626313,-0.06673688740091514,-0.05056827414994862,0.1273568237525214,-0.04843864211071574,-0.08034482980128281,-0.016210641097084907,-0.07326563040131573,-0.03825828144949053,-0.06859791180811985,0.02156024939393125,-0.047464365257681634,-0.15890199834602814,,0.03298100353997772
 Net Worth Turnover Rate (times),0.2659896592955984,-0.46119233923439634,-0.5235960430137914,-0.4802167846898725,-0.3359975401649305,-0.3355885568443338,-0.1964418606258261,-0.2949635351083057,-0.2897529150693844,-0.2552651257722172,-0.22322823187617563,0.323022815820554,-0.35014627022668887,-0.22260460199376514,-0.018520052316715382,-0.09105013424563217,-0.48338315973143325,-0.48338315973143325,-0.49319158785720335,-0.4477384460777213,-0.0757729995926615,0.8087388981507678,-0.10105671672781763,-0.4592369844637165,-0.022149197405003176,-0.0013097715756308678,-0.379638501107639,-0.3805893937942575,-0.495082371228607,-0.044413975646142446,-0.49790119209028166,-0.553864599874812,-0.3737797212151945,-0.2107910435392696,-0.21060369170494952,0.05800650975785369,0.6522158827090371,0.5305285980598209,-0.5305285980598207,-0.28672241073391197,-0.32695489352067886,0.007068533555582743,-0.09768473399318342,-0.4574878771451707,-0.07355753592580569,0.8024613039503109,0.33217350317167826,-0.25515765705851023,-0.3399816363499219,-0.3403939062857761,1.0,0.4916413834017644,-0.07911671564024021,-0.07782708708594863,-0.15478304076099442,0.5292370754106265,0.5637392187797111,0.09748997179470228,-0.1945597730213735,-0.11101288304434491,0.7048467902013822,-0.13301374595871232,-0.0498283654569594,-0.17034715906532688,0.40786859094432204,0.23188774752300517,-0.3114067293562499,-0.2221390400268279,-0.474116119744263,-0.19891281205410133,0.4566906131441564,0.3331933311355477,-0.017975699593019128,-0.22259858690361498,-0.09785511923674849,0.1455908278104273,-0.018533508412270496,0.40786859094432204,-0.3114067293562499,-0.4639682729940547,0.2290561812417371,0.04238883056246064,-0.15791418811002078,-0.5582704958424913,0.1765799555379956,0.5687484019068582,-0.519540364451414,-0.1979555427844081,-0.022658611287062376,-0.3360229214284512,0.5420443558367251,-0.3632737131071058,-0.02500179796075182,0.08984798578952757,,-0.3946833306073346
 Revenue per person,0.12524910315552415,-0.023672015518838484,-0.04096322157671122,-0.02991476040199,-0.4217953960714166,-0.42159070565054924,-0.1087050099671845,-0.09280756707388667,-0.08481202211182923,-0.05447864332026854,-0.07231493709386022,0.33305654042836036,-0.24803091824840903,0.06514920084004075,-0.1473385037985757,-0.05149430805752421,-0.06649046526837252,-0.06649046526837252,-0.06389858881582323,-0.030454341684055232,0.16660550809694383,0.5940013005059097,0.0651654550310399,-0.018981851646339285,-0.023989153606071,0.036238273111381406,-0.05136022819557027,-0.05124151755089094,-0.08257205473071463,-0.025042061629168985,-0.07864055021332861,-0.07647150748057749,-0.020971965870659103,-0.04941504793373959,-0.09827944016057089,0.002799474671438443,0.1075123264227403,0.11447305335877445,-0.11447305335877428,-0.12327813069674386,-0.008072264640586793,0.03999589887678755,0.06748470015053791,-0.014895504226462644,0.09664142477549871,0.5635160239392675,0.6421063215158125,-0.3721308166171455,-0.2169483192796648,-0.17176375044220465,0.4916413834017644,1.0,0.4078800873932178,0.46596977308459286,-0.01591365157704204,0.10840997106855288,0.20474360137546135,-0.07309547467737842,-0.08914529773631057,0.009654605905757225,0.21208197717916832,0.07312259182585709,0.1781286614182304,0.06875276883327992,0.15572106335338892,0.024649670060587933,-0.007732190375697083,-0.08815762291332295,-0.049867663190668446,0.1762037909627128,-0.14034410252321614,0.05443035074696489,-0.2573414868140614,-0.03645094831708781,-0.19486959403707402,0.020642226241623617,0.06031699666592063,0.15572106335338892,-0.007732190375697083,-0.07194506490822199,-0.011206262668565264,-0.04536817052283802,0.1404539060739241,-0.09376436542028356,0.007583739847656019,0.08299296234718331,-0.03992144322562402,-0.08219687807234735,-0.09563433336449198,-0.42180358485953673,0.08256872555017074,-0.04192738168526302,-0.09826788230075145,0.0633734139541155,,-0.13964883701012182
 Operating profit per person,-0.5183658127566597,0.6566892658963519,0.6140919568875784,0.624257107205182,0.2525334211658483,0.25245981750588975,0.7268385585579942,0.49518579728897877,0.47779614695720146,0.20957120603275442,0.4680154987096938,0.08514229384017004,0.12177726026321714,0.441824099959994,-0.07940470453726467,0.41882357614866983,0.5109380894441541,0.5109380894441541,0.4925261941035068,0.6555677362699297,0.5809609885656444,0.26163844892564325,0.8332560377163676,0.6802115611260252,-0.03819271150549081,0.11690401951288612,0.11858347202332876,0.11807753263075232,0.26601650915771996,0.08691748106136844,0.6127213113985434,0.3580076055598138,0.5221332471324311,0.2673477283395487,0.21889910350771724,0.035534700468183626,-0.4435191199575227,-0.367707742251651,0.3677077422516515,0.06506008466186158,0.17568416590200797,0.0356123095055963,0.835843606288616,0.6812373121894325,0.21372252623003354,0.22227195120334814,0.27786371694430884,-0.11513922912116055,0.07886905199211398,-0.16742818715972443,-0.07911671564024021,0.4078800873932178,1.0,0.06714453119850802,0.3346546173082348,-0.02411083840666057,0.0180323535385607,-0.038137075638391534,0.22155183573357265,-0.17758912849230335,-0.34746699987753277,0.4216945630609713,0.1660834563353382,0.27897225091108485,-0.0766139623413416,0.021297599825360346,0.17522115985344391,-0.05690646019591303,0.5179657420253158,0.6640394364202064,-0.2863373813994244,-0.059196093265263504,-0.07855061992759094,0.015893014299944584,-0.1125121039072277,0.05256753961985407,0.08401821932457089,-0.0766139623413416,0.17522115985344391,0.27154780125551753,-0.01521733738863342,0.043572692196576855,0.5636721940281431,0.3875497467168674,-0.35160087570648224,-0.34039764414690443,0.6267667349676627,-0.10226620569367971,0.14996895760807147,0.2525120418258251,-0.2538969039650779,0.16967970272506358,-0.03954605506488191,0.011467900192688342,,0.21070562473025362
 Allocation rate per person,0.3307805095731999,-0.08523351687833894,-0.04704940362850623,-0.07545776099765134,-0.3256031729044658,-0.3258528432869899,-0.2618199490621416,-0.42667192322432723,-0.41981319652157606,-0.38155473501696285,-0.4993878463373753,0.15485659396346724,-0.152469411511305,-0.04820622474402081,0.07260305101896954,-0.174899574873323,-0.056052128084790605,-0.056052128084790605,0.0338648569990913,-0.16339409043440295,-0.15537495093040798,-0.07461900307341661,-0.12273368082231358,-0.15655309705491952,0.42577764531546647,0.05081657835381426,0.0947195499934625,0.09404575290176848,0.08080078832687555,-0.003039807025598015,-0.09960944930197223,0.05731151947457019,-0.04881636235886897,-0.08519630560905117,-0.12782189173934377,-0.025793001849725314,0.08991052544828679,0.2137376862246489,-0.2137376862246492,-0.19536076555161805,0.16209297815205817,0.015435479880609138,-0.12104596820252214,-0.13339328657332777,0.0992288300721682,-0.14412855856166218,0.2869214657444447,-0.2011548914274521,-0.054555200081480806,0.2369756355599212,-0.07782708708594863,0.46596977308459286,0.06714453119850802,1.0,-0.12733103388317382,-0.17986070568709647,-0.07500473121676483,-0.19197247579798798,-0.12284597881932269,0.6927069023897858,0.06739055056283999,-0.09050846788766659,0.11925962516623691,0.04151760200870892,-0.1386759818454312,-0.07538300812621801,0.12636837069851647,0.06179719742577777,-0.15552455922684402,-0.06045428560120231,-0.3164013454782592,-0.15314294846794377,-0.26980594750797177,0.4578045680585709,-0.17503949588065035,-0.12675564475803383,0.2028360797432488,-0.1386759818454312,0.12636837069851647,0.16647460865072033,-0.1518360880522589,-0.12681735425034762,-0.0890047261948176,0.01487715513001214,0.15227368687103818,-0.05554380163108102,-0.06710675078050432,0.15635161896258323,-0.3282172088635509,-0.3255848195615367,-0.08565582049628262,0.17340538251544887,-0.06312543537031674,-0.011922217249887103,,-0.1698669657534442
 Working Capital to Total Assets,-0.5137764344569805,0.4354418776946776,0.3915873560109527,0.42346205308327495,0.033427837869919666,0.032771485142202385,0.31876950421228506,0.2827175672316289,0.27318052483819966,0.1726737326824059,0.256399904814239,0.0909749981799886,0.00810409827205064,0.43569535111029484,-0.08743977233603269,0.3724924948166291,0.6208035076440356,0.6208035076440356,0.6310898880559874,0.4754731615415984,0.3247974774962438,0.14430199979722286,0.3733410892363848,0.4571873273029926,-0.07673915195522066,-0.08957339117366474,-0.03375368537675503,-0.03234310207708582,0.05257993108666565,0.28569639271906705,0.46711074341072134,0.18828928705463616,0.32356082490029286,0.8220826612977078,0.7357414416155766,-0.20096356109375016,-0.5062786491395909,-0.69163939801204,0.6916393980120401,0.23614307892512304,-0.1926238882576662,-0.25780232785328394,0.3727591536419072,0.47048002741308226,0.10515071557907855,0.29464859190063125,-0.13936449136022316,0.1791501685679044,0.04853314779378199,-0.19460418381793357,-0.15478304076099442,-0.01591365157704204,0.3346546173082348,-0.12733103388317382,1.0,0.47075264680536727,0.526763154921364,0.3615792309789725,0.7556140980633836,0.12957877177707539,-0.5885022157215262,0.4598513025055205,-0.06847075039732355,0.672255899443878,-0.023190620553545177,0.6306507042959102,-0.12461668030714648,-0.3057070982076344,0.5469188412604991,0.3932303290962674,-0.20051363811281142,-0.2164991716268677,-0.1392612417218011,0.5934741840144223,0.15834251949500325,0.2169422104333165,-0.2220036676217863,-0.023190620553545177,-0.12461668030714648,-0.07876747911887054,0.26394058102056606,0.31473350637813985,0.4111059682133526,0.29847408529952857,-0.9092244005712669,-0.18762173172846308,0.4511169078200483,-0.18076496745354204,0.5014648760787745,0.03340790155311992,-0.10709228151892698,-0.14156910467242978,-0.1360701427550957,0.08491211533017061,,0.5750943645158121
 Quick Assets/Total Assets,-0.014048848130384251,-0.09966656271207094,-0.17502724123096278,-0.12748444839223264,-0.22590389081989917,-0.22602730538621538,0.02686592798717398,-0.142673619503641,-0.14893289244370242,-0.1906797818580715,-0.10445945227295353,0.20506453297412566,-0.3831293600853127,-0.11856403179412517,0.1450054626639169,0.22733876756665278,0.02310380987830363,0.02310380987830363,0.029609998673905506,-0.09284458982590277,-0.07266387420211698,0.5519536947784649,0.1360864088380637,-0.10801029766882066,-0.004046658986404745,-0.12454257243172862,-0.1713370341137346,-0.17212438409383268,-0.22856808686889932,0.2602752326836338,-0.11271533282466241,-0.24005927499123686,-0.2092437329564729,0.30720687843710165,0.35854944367845254,-0.028837422451169607,0.2182229536196692,0.060276177217496646,-0.06027617721749707,-0.15748116206139862,-0.25807831518508634,-0.2512056391876255,0.13597210657549091,-0.09912708572753254,0.08894539291376977,0.5943586751302135,-0.19248439728379482,0.20734241903401945,-0.2991717615124416,-0.3382115738545443,0.5292370754106265,0.10840997106855288,-0.02411083840666057,-0.17986070568709647,0.47075264680536727,1.0,0.9334595343447,0.6073729454775372,0.37955495064482814,0.0755315669354426,0.3749648120799474,0.05829592473268281,-0.21948806634689405,0.00861121576241383,0.5599761346365439,0.4837469887795583,-0.17776968813457483,-0.5635807436552294,-0.045392140951080594,-0.06558014975913894,0.2238723494846198,-0.05477610808526536,-0.16193416340158887,0.23039103010152845,0.09423073149810632,0.21249945807333007,-0.11335737946141226,0.5599761346365439,-0.17776968813457483,-0.4099764387901459,0.32507510673214945,0.2860787106104763,-0.08053326146218977,-0.21453640649698702,-0.32156428374330104,0.26770369873572564,-0.1506057341557632,-0.377951693200814,0.28898239948754356,-0.22593798551638852,0.2804335301331925,-0.2506984004716512,-0.09942961056481846,0.13108302521101267,,0.05055307398110805
 Current Assets/Total Assets,0.013058672833705482,-0.04385570089965222,-0.11648687811307662,-0.07087717210635501,-0.2835138961825429,-0.2838348917495162,-0.0007720007260094811,-0.19305722648956336,-0.2015760807005342,-0.23752988680568285,-0.16301592452599248,0.26571976828142474,-0.42917425731431047,-0.10229481010794855,0.13341061911879096,0.2361171001262964,0.029304513343088374,0.029304513343088374,0.0519229384972217,-0.0592763200405841,-0.031792627719549715,0.6422665012383827,0.1565594790976419,-0.07598036402938092,0.027159074657472134,-0.07231178856597238,-0.2405227265930186,-0.24106403431184925,-0.2525854678972648,0.25003830951916695,-0.07351058897768456,-0.17630918563186554,-0.1328862106275992,0.3169593564533502,0.27587308926620097,-0.041221109067666316,0.15693616767915533,0.056699764897688555,-0.05669976489768881,-0.17283236353811618,-0.18689075958864027,-0.18436817130290264,0.1560373115915357,-0.06394120587186132,0.2312912661106619,0.6827155275378516,-0.10544261561426868,0.14790003163021392,-0.23668379778781787,-0.42017862433149145,0.5637392187797111,0.20474360137546135,0.0180323535385607,-0.07500473121676483,0.526763154921364,0.9334595343447,1.0,0.4655604410525513,0.3008022794855655,0.19026375974024265,0.37722976660582136,0.10949330644155006,-0.18471705592320914,0.23556000354049864,0.5670279818846677,0.4819764954826629,-0.10259294235487841,-0.5936108576944336,-0.02230976087133466,-0.057516758857737764,0.17709685052025737,-0.001403472064986005,-0.1221709717924863,0.34096097708166706,0.05985489973176497,0.2316975014167015,-0.11486648403947795,0.5670279818846677,-0.10259294235487841,-0.3463412738829142,0.288623993398912,0.2606419013741287,-0.013551052686553662,-0.13913679380012559,-0.36463522420093486,0.19122292343340538,-0.0957827602731211,-0.40546683092862684,0.273570583854792,-0.2835505994645238,0.2022290851053844,-0.17812724230725352,-0.12531014230662546,0.1471197679972203,,0.018247761463505534
 Cash/Total Assets,-0.139104214102489,-0.1102902832317869,-0.18136820390755384,-0.14555150436987935,0.04401070498124165,0.04422530519245682,0.09822120548469869,0.031894520134517934,0.018366638708961384,-0.014882127418859718,0.05286520716553987,-0.20031149961781752,-0.06821788099683528,0.09659242103519038,0.055124231995816994,0.2746693876075792,0.12496239462682666,0.12496239462682666,0.10364088695918032,-0.06676437464364653,0.06264881341297852,0.023312826905318215,0.055877852165099384,-0.06948022356195155,-0.07182327522793296,-0.16150433987736576,0.039557612104801215,0.03907680122017404,-0.10162650107514651,0.25870878342036285,-0.0872428311346912,-0.30552323307546636,-0.07803524275448687,0.378525052735058,0.4658168878395124,0.0018409013483148154,0.18643104515547457,-0.13878538206813817,0.13878538206813754,-0.13739831434773495,-0.388233316057908,-0.35450403877747333,0.055931293234103105,-0.06304850764333898,-0.3195311528925982,0.08308751896874843,-0.23722395577037778,0.20662104821093097,-0.05993263124698342,-0.17201676040955993,0.09748997179470228,-0.07309547467737842,-0.038137075638391534,-0.19197247579798798,0.3615792309789725,0.6073729454775372,0.4655604410525513,1.0,0.4603700459490136,-0.09070245200089146,0.048867446129726655,0.2613480610876296,-0.14687863724839456,0.02882722531867665,0.31996939541541175,0.425927512427168,-0.3504158958631001,-0.3373501608096918,0.010976861408827665,0.04290429129401644,0.23535576699559027,-0.21650354448512382,-0.12287067071905367,0.0974690729761576,0.3645237516656447,0.27950074068158365,0.03461680440369148,0.31996939541541175,-0.3504158958631001,-0.42100158911136215,0.45653958681499685,0.45828987237447044,0.06537132442595842,-0.24513327713248875,-0.26906530437579873,0.33163859650203226,-0.14352013008412035,-0.23139180864735645,0.24893558808344216,0.043986738862134264,0.35621844834082034,-0.3859139778843443,-0.07418475555446297,0.06448936074454421,,0.34705971952611914
 Quick Assets/Current Liability,-0.3487227408887699,0.2551984944772695,0.21632553930602363,0.2419491166235957,0.07244440170548876,0.0722832799482053,0.29147202877887485,0.2628013142082607,0.24371410495574822,0.16315742361225125,0.23936265184543548,-0.004508593019823969,0.09601679580330978,0.6456156431158513,-0.15910805163877006,0.33581184292264166,0.4853813770651912,0.4853813770651912,0.47545850845409504,0.29065851717302893,0.2251608764361505,-0.06076144819515932,0.203838470151394,0.28745241383072057,-0.10674176968533373,-0.10091001305948309,0.06400064252585072,0.06447834831988204,0.072632386816272,0.20029575095511953,0.2989178022430659,0.06875059172105241,0.19540687726746234,0.9600570613569922,0.9928935786670586,-0.11881001009097798,-0.32854030359812925,-0.6017831803813375,0.6017831803813379,0.11812390541926672,-0.23170119829491526,-0.25799048964934584,0.204191233580957,0.2944508463750572,-0.07922816020931892,0.06904688620149338,-0.1552077059708875,0.15053962407282248,-0.056070298626140824,0.1026361758830117,-0.1945597730213735,-0.08914529773631057,0.22155183573357265,-0.12284597881932269,0.7556140980633836,0.37955495064482814,0.3008022794855655,0.4603700459490136,1.0,-0.017309541035414183,-0.5371591533075453,0.45779798099702745,-0.16944196348863944,0.4915859871601917,-0.1372133723231652,0.441302258125999,-0.16213801194130062,-0.35804386164886737,0.3812030655767701,0.30808522826585305,-0.16622674319744268,-0.24112718662775454,-0.16655337386669325,0.4147990580500813,0.19572525774609006,0.1316511049408168,-0.1354692748297465,-0.1372133723231652,-0.16213801194130062,-0.2045700945168371,0.2576297534250743,0.370099400556719,0.29614658164382107,0.15569417490455514,-0.742561893497074,-0.06959623416515132,0.2688169287211008,-0.19487190642887386,0.44027619016610936,0.07242742898741303,-0.017344697429562815,-0.17888970982491728,-0.10868977536685842,0.09329168333995487,,0.635443384818352
 Cash/Current Liability,0.2592421218315229,-0.10592969016900816,-0.06860705444242898,-0.10180325852851804,-0.07173852350715698,-0.07250174999106893,-0.19610379350081192,-0.5091070488058921,-0.5096059015567215,-0.5193918098472369,-0.6064459971410758,-0.052379540183153654,-0.07864705999884362,-0.12674359320585887,0.10458917007111654,-0.09462034858664588,0.03159994713823979,0.03159994713823979,0.1622301943876799,-0.1829686350553297,-0.2697665113163332,-0.12753146169062857,-0.09264061696860033,-0.18721922410634131,0.5058716171512484,0.011066284813576804,0.015418325989449509,0.015710421181160436,0.015531667245696159,0.08068016466604931,-0.10638957339311982,0.03102138282232346,-0.12416699453729739,0.031594463744986395,-0.029893205582826574,-0.06051313739045313,0.08399439713908534,0.15458256841422946,-0.15458256841422988,-0.06350987855200052,0.02705806096137698,0.02645700669383029,-0.09308792253652126,-0.1525279346002975,0.11914389553477234,-0.14836721571326103,0.0312453450657846,-0.06472767010649166,-0.060985400705094596,0.040269411454040976,-0.11101288304434491,0.009654605905757225,-0.17758912849230335,0.6927069023897858,0.12957877177707539,0.0755315669354426,0.19026375974024265,-0.09070245200089146,-0.017309541035414183,1.0,0.03978997425928608,-0.10104167070238666,-0.01772727471471654,0.14153930096619768,-0.07178799694990823,0.18790163649016764,0.04837669264593694,-0.05972347594441529,-0.13584360680252008,-0.1675595233464568,-0.06156979445661308,-0.08413491329818898,-0.15484576687106638,0.8308289676566886,-0.07303124988317324,0.003291981025261434,-0.06215361404941468,-0.07178799694990823,0.04837669264593694,0.00990347651759123,-0.0016818423739764705,-0.008232244283179821,-0.1576057079675207,0.01374465357945205,-0.06574893379147759,-0.010526315789389774,-0.06402401975433251,0.19259905022938248,0.03332662400635188,-0.0717272267496497,-0.02989622763400487,0.09298395974578429,-0.016480905285038754,0.005279830045003627,,-0.10627400830368242
 Current Liability to Assets,0.5721993314690185,-0.5161437596578465,-0.5374463397345693,-0.5287929785152932,-0.30608730924029,-0.30567750603129185,-0.3480454875654849,-0.49165914908838426,-0.48937096210957304,-0.41406282721958027,-0.4344110630520276,0.1536207840366937,-0.4170421374958946,-0.5720047396847334,0.22216341870818274,-0.18125977198936713,-0.6485152223259602,-0.6485152223259602,-0.6382089247227957,-0.5744267692223844,-0.3841186976446327,0.453674383732462,-0.2578561956056653,-0.5703918556357664,0.10944271546147921,0.02881361198919642,-0.19199916458044225,-0.19405091641555755,-0.29753641072925957,-0.07345093529607198,-0.5788546398823786,-0.37284600824508884,-0.47892726424961446,-0.594211188278208,-0.5392187499386524,0.17974947325473936,0.7008804111793508,0.8074971875804196,-0.8074971875804201,-0.42167748225084145,0.03210827288085832,0.10552197859826734,-0.25771881887595577,-0.5734236066099648,0.10542887796991662,0.3283396023440984,0.051550219089231866,-0.05451448895492174,-0.2780022930821237,-0.18762768330039745,0.7048467902013822,0.21208197717916832,-0.34746699987753277,0.06739055056283999,-0.5885022157215262,0.3749648120799474,0.37722976660582136,0.048867446129726655,-0.5371591533075453,0.03978997425928608,1.0,-0.39687963520275354,-0.10109363947018467,-0.5083930023422445,0.5646001022247141,-0.22868164311785083,0.03819242092445746,-0.23153835212243784,-0.6171084562364273,-0.4831465336416554,0.3869140853289944,0.23454895081774446,0.03552641842722282,-0.3223044495338193,-0.11558859350864216,-0.01598570598299435,0.13262507995908665,0.5646001022247141,0.03819242092445746,-0.2436050991575158,-0.013046099109801469,-0.09500225791929279,-0.4608043827090927,-0.4575396219078623,0.6438080732170917,0.3863039989589946,-0.5826131113000965,-0.18871278567665967,-0.2861557922741868,-0.3061004984952637,0.30903277328348855,-0.01518231926745396,0.02906375194307836,0.04741921085752701,,-0.6092301316222832
 Operating Funds to Liability,-0.3313636026560885,0.44016578867858763,0.3448480310107071,0.3998799147365128,0.16706213884061852,0.16704000123655466,0.44944381491169766,0.31744784641042756,0.28270725955095155,0.14343201432978422,0.3033761273857694,-0.07804625278867977,0.2086304699888489,0.8138443927432093,0.1119172467824228,0.3723130004876057,0.37406288159576345,0.37406288159576345,0.35877252396934106,0.39877954037281643,0.6881580714609216,0.043848946554399915,0.4567606849747414,0.41612320526669,-0.15540811170311636,-0.02519923799493077,0.13052628943070607,0.13164133606601366,0.17016264649925972,0.08874141327688302,0.3421429932898818,0.13649233589312526,0.5682514223445166,0.5413040388821357,0.4534006966224013,-0.04527889592701648,-0.33665626180968206,-0.5455617281662735,0.5455617281662728,-0.04370459004280165,-0.11078909060624484,-0.18278175458875082,0.4579821580713435,0.4204143876138484,-0.020075422589119752,0.13656308389862376,0.057003143494615036,-0.0138959111121155,0.10917261443900671,-0.09591662706797886,-0.13301374595871232,0.07312259182585709,0.4216945630609713,-0.09050846788766659,0.4598513025055205,0.05829592473268281,0.10949330644155006,0.2613480610876296,0.45779798099702745,-0.10104167070238666,-0.39687963520275354,1.0,-0.0631695613308501,0.5418369039308373,0.13678042879685512,0.19387314327307514,-0.06499026973943939,-0.20410537928389844,0.3784012709867525,0.43918335370190714,-0.09122536613393728,0.008204531365613388,-0.03232427237734283,0.1537367463741652,0.17068364560475016,0.18526392721955273,0.2665696329237289,0.13678042879685512,-0.06499026973943939,-0.061065046333967664,0.17788588413214385,0.3089365780684237,0.7998674503845642,0.19564929881167278,-0.4271013742379694,-0.12537589950412406,0.37060109825081133,-0.20562357293271014,0.2773611412007463,0.16702431781873814,-0.06790625994746265,-0.0931107442512669,-0.08212110670283508,0.05339790224237138,,0.664951572203837
